goals,ownGoals,playerId,redCards,yellowCards,matchId,team,minute,playerIn
1,null,0,20519,0,28,2576153,away,73.0,20517.0
2,null,0,135903,0,0,2576153,away,81.0,20556.0
3,null,0,3543,0,11,2576153,away,,
4,null,0,20571,0,0,2576153,away,,
5,null,0,138408,0,0,2576153,away,,
6,1,0,206314,0,88,2576153,away,,
7,null,0,14812,0,0,2576153,away,,
8,null,0,116349,0,0,2576153,away,,
9,null,0,7982,0,0,2576153,away,,
10,null,0,241676,0,0,2576153,away,,
0,null,0,20556,0,0,2576145,home,72.0,70965.0
1,null,0,135903,0,0,2576145,home,82.0,298212.0
2,null,0,3543,0,0,2576145,home,84.0,69968.0
3,null,0,20571,0,0,2576145,home,,
4,null,0,138408,0,0,2576145,home,,
5,null,0,206314,0,0,2576145,home,,
6,null,0,14812,0,0,2576145,home,,
7,null,0,116349,0,71,2576145,home,,
8,null,0,7982,0,66,2576145,home,,
9,null,0,20519,0,0,2576145,home,,
10,null,0,241676,0,0,2576145,home,,
0,null,0,20561,0,0,2576145,away,57.0,37745.0
1,null,0,3484,0,0,2576145,away,64.0,40806.0
2,null,0,265865,0,0,2576145,away,82.0,7926.0
3,null,0,166534,0,0,2576145,away,,
4,null,0,208865,0,0,2576145,away,,
5,null,0,21350,0,0,2576145,away,,
6,null,0,21384,0,0,2576145,away,,
7,null,0,228928,0,0,2576145,away,,
8,null,0,20550,0,77,2576145,away,,
9,null,0,130,0,0,2576145,away,,
10,null,0,7965,0,0,2576145,away,,
0,null,0,209400,0,0,2576136,home,63.0,22699.0
1,null,0,208696,0,0,2576136,home,83.0,292310.0
2,1,0,21861,0,0,2576136,home,,
3,null,0,22163,0,0,2576136,home,,
4,null,0,246059,0,0,2576136,home,,
5,null,0,354123,0,0,2576136,home,,
6,null,0,20842,0,0,2576136,home,,
7,null,0,22162,0,73,2576136,home,,
8,null,0,20832,0,0,2576136,home,,
9,null,0,20635,0,0,2576136,home,,
10,0,2,22383,0,0,2576136,home,95.0,21162.0
0,0,2,69968,0,21,2576136,away,46.0,20626.0
1,null,0,21094,0,0,2576136,away,77.0,298212.0
2,null,0,3431,0,0,2576136,away,80.0,70965.0
3,null,0,3543,0,0,2576136,away,,
4,null,0,20571,0,0,2576136,away,,
5,null,0,20556,0,0,2576136,away,,
6,null,0,138408,0,0,2576136,away,,
7,null,0,206314,0,0,2576136,away,,
8,null,0,14812,0,0,2576136,away,,
9,null,0,241676,0,0,2576136,away,,
10,null,0,135903,0,74,2576136,away,,
0,null,0,69968,0,0,2576125,home,53.0,241676.0
1,null,0,7982,0,0,2576125,home,69.0,352993.0
2,null,0,116349,0,73,2576125,home,78.0,20626.0
3,null,0,3543,0,0,2576125,home,,
4,null,0,21094,0,0,2576125,home,,
5,null,0,20571,0,0,2576125,home,,
6,null,0,20556,0,0,2576125,home,,
7,null,0,3431,0,0,2576125,home,,
8,null,0,138408,0,0,2576125,home,,
9,1,0,206314,0,0,2576125,home,,
10,null,0,14812,0,0,2576125,home,,
0,null,0,134508,0,65,2576125,away,73.0,20938.0
1,1,0,333913,0,0,2576125,away,78.0,234533.0
2,1,0,213948,0,0,2576125,away,88.0,21314.0
3,null,0,50069,0,74,2576125,away,,
4,null,0,20583,0,0,2576125,away,,
5,null,0,20540,0,0,2576125,away,,
6,null,0,131184,0,28,2576125,away,,
7,null,0,394,0,43,2576125,away,,
8,null,0,354547,0,0,2576125,away,,
9,null,0,56026,0,0,2576125,away,,
10,1,0,265172,0,0,2576125,away,,
0,null,0,3318,0,0,2576112,home,75.0,89186.0
1,null,0,20443,0,0,2576112,home,85.0,361807.0
2,null,0,20461,0,0,2576112,home,,
3,null,0,14943,0,0,2576112,home,,
4,null,0,3323,0,39,2576112,home,,
5,null,0,20579,0,27,2576112,home,,
6,null,0,25437,0,0,2576112,home,,
7,null,0,20588,0,0,2576112,home,,
8,null,0,20395,0,0,2576112,home,,
9,null,0,7849,0,0,2576112,home,,
10,null,0,20751,0,0,2576112,home,,
0,null,0,7982,0,61,2576112,away,63.0,298212.0
1,null,0,20556,0,0,2576112,away,69.0,241676.0
2,null,0,206314,0,0,2576112,away,85.0,20626.0
3,null,0,3543,0,0,2576112,away,,
4,null,0,21094,0,87,2576112,away,,
5,null,0,20571,0,0,2576112,away,,
6,null,0,3431,0,0,2576112,away,,
7,null,0,138408,0,0,2576112,away,,
8,null,0,69968,0,29,2576112,away,,
9,null,0,14812,0,40,2576112,away,,
10,null,0,116349,0,91,2576112,away,,
0,1,0,206314,0,0,2576104,home,75.0,20626.0
1,null,0,21094,0,0,2576104,home,77.0,298212.0
2,null,0,20556,0,0,2576104,home,85.0,352993.0
3,null,0,3543,0,0,2576104,home,,
4,null,0,20571,0,0,2576104,home,,
5,1,0,138408,0,0,2576104,home,,
6,null,0,70965,0,0,2576104,home,,
7,null,0,69968,0,0,2576104,home,,
8,3,0,14812,0,0,2576104,home,,
9,null,0,7982,0,0,2576104,home,,
10,null,0,20519,0,56,2576104,home,,
0,null,0,21148,0,0,2576104,away,64.0,20748.0
1,null,0,21119,0,0,2576104,away,69.0,238832.0
2,null,0,20495,0,0,2576104,away,87.0,269188.0
3,null,0,21291,0,0,2576104,away,,
4,null,0,20633,0,0,2576104,away,,
5,null,0,20929,0,0,2576104,away,,
6,null,0,20638,0,0,2576104,away,,
7,null,0,415809,0,0,2576104,away,,
8,null,0,21607,0,0,2576104,away,,
9,null,0,21438,0,0,2576104,away,,
10,null,0,278813,0,0,2576104,away,,
0,null,0,50073,0,0,2576091,home,64.0,23314.0
1,null,0,116171,0,0,2576091,home,82.0,20874.0
2,1,0,22933,0,0,2576091,home,87.0,21959.0
3,null,0,21299,0,0,2576091,home,,
4,null,0,20636,0,0,2576091,home,,
5,null,0,286223,0,0,2576091,home,,
6,null,0,21639,0,66,2576091,home,,
7,null,0,283832,0,0,2576091,home,,
8,null,0,220359,0,0,2576091,home,,
9,null,0,20472,0,0,2576091,home,,
10,null,0,20850,0,0,2576091,home,,
0,null,0,116349,0,0,2576091,away,53.0,69968.0
1,null,0,20556,0,0,2576091,away,86.0,135903.0
2,null,0,3543,0,0,2576091,away,,
3,null,0,21094,0,0,2576091,away,,
4,null,0,20571,0,0,2576091,away,,
5,null,0,3431,0,13,2576091,away,,
6,null,0,138408,0,0,2576091,away,,
7,null,0,14812,0,0,2576091,away,,
8,null,0,7982,0,0,2576091,away,,
9,null,0,241676,0,81,2576091,away,,
10,2,2,206314,0,0,2576091,away,94.0,20626.0
0,0,0,20556,0,0,2576082,home,73.0,69968.0
1,0,0,3543,0,0,2576082,home,83.0,70965.0
2,0,0,21094,0,0,2576082,home,,
3,0,0,20571,0,0,2576082,home,,
4,0,0,3431,0,0,2576082,home,,
5,0,0,138408,0,0,2576082,home,,
6,2,0,206314,0,0,2576082,home,90.0,20626.0
7,0,0,14812,0,0,2576082,home,,
8,0,0,116349,0,0,2576082,home,,
9,0,0,7982,0,0,2576082,home,,
10,0,0,241676,0,0,2576082,home,,
0,0,0,20820,0,0,2576082,away,55.0,246175.0
1,0,0,21077,0,0,2576082,away,67.0,373768.0
2,0,0,41034,0,0,2576082,away,77.0,342075.0
3,0,0,21620,0,53,2576082,away,,
4,0,0,625,0,0,2576082,away,,
5,0,0,20404,0,0,2576082,away,,
6,0,0,86366,0,48,2576082,away,,
7,0,0,280419,0,0,2576082,away,,
8,0,0,20841,0,0,2576082,away,,
9,0,0,50849,0,0,2576082,away,,
10,0,0,263803,0,0,2576082,away,,
0,0,0,241676,0,0,2576075,home,69.0,20626.0
1,0,0,20517,0,0,2576075,home,76.0,69968.0
2,0,0,3543,0,0,2576075,home,,
3,0,0,21094,0,0,2576075,home,,
4,0,0,20571,0,0,2576075,home,,
5,0,0,20556,0,0,2576075,home,,
6,0,0,3431,0,0,2576075,home,,
7,0,0,138408,0,66,2576075,home,,
8,0,0,206314,0,0,2576075,home,,
9,0,0,14812,0,0,2576075,home,,
10,0,0,116349,0,33,2576075,home,,
0,0,0,20525,0,64,2576075,away,73.0,20812.0
1,1,0,8148,0,0,2576075,away,82.0,25898.0
2,0,0,20941,0,0,2576075,away,89.0,339791.0
3,0,0,25421,0,61,2576075,away,,
4,0,0,20429,0,42,2576075,away,,
5,0,0,21234,0,0,2576075,away,,
6,0,0,14903,0,56,2576075,away,,
7,0,0,101742,0,0,2576075,away,,
8,0,0,25558,0,0,2576075,away,,
9,0,0,21507,0,0,2576075,away,,
10,0,0,20927,0,0,2576075,away,,
0,0,0,410031,0,0,2576061,home,58.0,20536.0
1,0,0,22381,0,0,2576061,home,64.0,86309.0
2,0,0,20947,0,0,2576061,home,79.0,403546.0
3,0,0,25878,0,94,2576061,home,,
4,0,0,23427,0,0,2576061,home,,
5,0,0,343925,0,0,2576061,home,,
6,0,0,328336,0,38,2576061,home,,
7,0,0,21298,0,0,2576061,home,,
8,0,0,20935,0,0,2576061,home,,
9,0,0,22093,0,0,2576061,home,,
10,0,0,26373,0,0,2576061,home,,
0,0,0,20556,0,0,2576061,away,74.0,69968.0
1,1,0,3543,0,0,2576061,away,79.0,135903.0
2,0,0,206314,0,0,2576061,away,86.0,20626.0
3,0,0,21094,0,0,2576061,away,,
4,0,0,20571,0,0,2576061,away,,
5,0,0,3431,0,0,2576061,away,,
6,0,0,138408,0,0,2576061,away,,
7,1,0,14812,0,0,2576061,away,,
8,0,0,116349,0,0,2576061,away,,
9,0,0,20517,0,0,2576061,away,,
10,0,0,241676,0,51,2576061,away,,
0,0,0,116349,0,0,2576055,home,74.0,70965.0
1,0,0,20517,0,0,2576055,home,84.0,7982.0
2,2,0,206314,0,0,2576055,home,87.0,20626.0
3,0,0,3543,0,0,2576055,home,,
4,0,0,21094,0,0,2576055,home,,
5,0,0,20571,0,0,2576055,home,,
6,0,0,20556,0,0,2576055,home,,
7,0,0,3431,0,0,2576055,home,,
8,1,0,138408,0,0,2576055,home,,
9,0,0,14812,0,0,2576055,home,,
10,0,0,241676,0,88,2576055,home,,
0,0,0,20689,0,0,2576055,away,46.0,21376.0
1,0,0,86243,0,0,2576055,away,57.0,240042.0
2,0,0,20816,0,0,2576055,away,66.0,138174.0
3,0,0,333571,0,0,2576055,away,,
4,0,0,20811,0,0,2576055,away,,
5,1,0,20479,0,85,2576055,away,,
6,0,0,20869,0,61,2576055,away,,
7,0,0,20632,0,0,2576055,away,,
8,0,0,37739,0,0,2576055,away,,
9,0,0,99833,0,0,2576055,away,,
10,0,0,22270,0,0,2576055,away,,
0,0,0,21171,0,0,2576044,home,72.0,99902.0
1,0,0,40726,0,0,2576044,home,75.0,284315.0
2,0,0,21385,0,0,2576044,home,80.0,300830.0
3,0,0,21001,0,0,2576044,home,,
4,0,0,21315,0,0,2576044,home,,
5,0,0,7949,0,0,2576044,home,,
6,0,0,25726,0,92,2576044,home,,
7,0,0,122,0,0,2576044,home,,
8,0,0,25849,0,0,2576044,home,,
9,0,0,3300,0,0,2576044,home,,
10,0,0,3313,0,0,2576044,home,,
0,0,0,3543,0,0,2576044,away,71.0,70965.0
1,0,0,20556,0,0,2576044,away,83.0,135903.0
2,0,0,206314,0,0,2576044,away,87.0,20626.0
3,0,0,21094,0,0,2576044,away,,
4,0,0,20571,0,0,2576044,away,,
5,0,0,3431,0,66,2576044,away,,
6,0,0,138408,0,0,2576044,away,,
7,0,0,14812,0,0,2576044,away,,
8,0,0,116349,0,0,2576044,away,,
9,0,0,20517,0,0,2576044,away,,
10,0,0,241676,0,0,2576044,away,,
0,0,0,20556,0,0,2576034,home,73.0,135903.0
1,0,0,3543,0,0,2576034,home,85.0,20626.0
2,0,0,21094,0,0,2576034,home,,
3,0,1,20571,0,0,2576034,home,,
4,0,0,3431,0,15,2576034,home,,
5,0,0,138408,0,0,2576034,home,,
6,3,0,206314,0,91,2576034,home,90.0,7982.0
7,0,0,14812,0,79,2576034,home,,
8,0,0,116349,0,25,2576034,home,,
9,0,0,20517,0,0,2576034,home,,
10,0,0,241676,0,66,2576034,home,,
0,0,0,285109,0,0,2576034,away,46.0,351010.0
1,0,0,146588,0,22,2576034,away,78.0,286226.0
2,0,0,3526,0,0,2576034,away,,
3,0,0,350999,0,0,2576034,away,,
4,0,0,14922,0,89,2576034,away,,
5,1,0,11063,0,0,2576034,away,,
6,0,0,20449,0,0,2576034,away,,
7,0,0,135927,0,0,2576034,away,,
8,0,0,20459,0,0,2576034,away,,
9,0,0,37732,0,0,2576034,away,,
10,0,0,20845,0,0,2576034,away,,
0,0,0,22323,0,0,2576020,home,66.0,220341.0
1,0,0,255670,0,64,2576020,home,72.0,239295.0
2,0,0,22695,0,0,2576020,home,84.0,218971.0
3,0,0,50007,0,0,2576020,home,,
4,0,0,24838,0,0,2576020,home,,
5,0,0,284960,0,0,2576020,home,,
6,0,0,256478,0,0,2576020,home,,
7,0,0,22135,0,0,2576020,home,,
8,1,0,21322,0,0,2576020,home,,
9,0,0,20609,0,43,2576020,home,,
10,0,0,22552,0,0,2576020,home,,
0,0,0,20556,0,0,2576020,away,52.0,70965.0
1,0,0,3543,0,31,2576020,away,78.0,241676.0
2,0,0,20517,0,0,2576020,away,85.0,298212.0
3,0,0,21094,0,0,2576020,away,,
4,0,0,20571,0,0,2576020,away,,
5,0,0,3431,0,68,2576020,away,,
6,0,0,138408,0,0,2576020,away,,
7,0,0,206314,0,0,2576020,away,,
8,2,0,69968,0,0,2576020,away,,
9,0,0,14812,0,0,2576020,away,,
10,0,0,116349,0,74,2576020,away,,
0,0,0,20556,0,0,2576013,home,60.0,20626.0
1,0,0,3543,0,0,2576013,home,72.0,352993.0
2,0,0,69968,0,0,2576013,home,81.0,70965.0
3,1,0,21094,0,0,2576013,home,,
4,0,0,20571,0,0,2576013,home,,
5,0,0,3431,0,0,2576013,home,,
6,0,0,138408,0,0,2576013,home,,
7,0,0,206314,0,0,2576013,home,,
8,0,0,14812,0,0,2576013,home,,
9,0,0,116349,0,0,2576013,home,,
10,0,0,298212,0,0,2576013,home,,
0,0,0,116269,0,0,2576013,away,53.0,22559.0
1,0,0,481329,0,0,2576013,away,74.0,21177.0
2,0,0,21288,0,0,2576013,away,79.0,20655.0
3,0,0,38532,0,93,2576013,away,,
4,0,0,20776,0,0,2576013,away,,
5,0,0,22158,0,0,2576013,away,,
6,0,0,349102,91,0,2576013,away,,
7,0,0,206318,0,0,2576013,away,,
8,0,0,20434,0,0,2576013,away,,
9,0,0,21468,0,0,2576013,away,,
10,0,0,9080,93,0,2576013,away,,
0,0,0,20529,0,20,2576001,home,72.0,20690.0
1,0,0,259292,0,0,2576001,home,74.0,21296.0
2,0,0,252589,0,77,2576001,home,88.0,403272.0
3,0,0,232822,0,0,2576001,home,,
4,0,0,90268,0,0,2576001,home,,
5,0,0,125286,0,0,2576001,home,,
6,0,0,295273,0,44,2576001,home,,
7,0,0,22377,0,0,2576001,home,,
8,0,0,20483,0,77,2576001,home,,
9,1,0,21123,0,0,2576001,home,,
10,0,0,50805,0,0,2576001,home,,
0,0,0,70965,0,0,2576001,away,50.0,20626.0
1,0,0,20556,0,0,2576001,away,81.0,69968.0
2,0,0,3543,0,0,2576001,away,86.0,241676.0
3,0,0,21094,0,29,2576001,away,,
4,0,0,20571,0,0,2576001,away,,
5,0,0,3431,0,0,2576001,away,,
6,0,0,138408,0,0,2576001,away,,
7,1,0,206314,0,0,2576001,away,,
8,0,0,14812,0,0,2576001,away,,
9,0,0,116349,0,0,2576001,away,,
10,0,0,20517,0,91,2576001,away,,
0,0,0,49857,0,0,2575990,home,66.0,3885.0
1,0,0,51151,0,0,2575990,home,72.0,20516.0
2,0,0,21528,0,0,2575990,home,85.0,347026.0
3,0,0,20815,0,0,2575990,home,,
4,0,0,99423,0,0,2575990,home,,
5,0,0,21280,0,0,2575990,home,,
6,0,0,302799,0,0,2575990,home,,
7,0,0,22185,0,0,2575990,home,,
8,0,0,21655,0,0,2575990,home,,
9,0,0,69513,0,0,2575990,home,,
10,0,0,21494,0,82,2575990,home,,
0,0,0,241676,0,0,2575990,away,56.0,116349.0
1,0,0,298212,0,0,2575990,away,64.0,20517.0
2,0,0,21094,0,0,2575990,away,85.0,20519.0
3,0,0,3543,0,0,2575990,away,,
4,0,0,20571,0,0,2575990,away,,
5,0,0,20556,0,91,2575990,away,,
6,0,0,3431,0,40,2575990,away,,
7,1,0,138408,0,0,2575990,away,,
8,0,0,206314,0,0,2575990,away,,
9,0,0,70965,0,0,2575990,away,,
10,1,0,14812,0,0,2575990,away,,
0,0,0,70965,0,0,2575984,home,66.0,69968.0
1,0,0,3543,0,0,2575984,home,78.0,116349.0
2,0,0,20556,0,0,2575984,home,88.0,20626.0
3,0,0,21094,0,30,2575984,home,,
4,0,0,20571,0,0,2575984,home,,
5,0,0,3431,0,0,2575984,home,,
6,0,0,138408,0,0,2575984,home,,
7,1,0,206314,0,0,2575984,home,,
8,1,0,14812,0,0,2575984,home,,
9,0,0,298212,0,0,2575984,home,,
10,0,0,241676,0,58,2575984,home,,
0,0,0,20661,0,0,2575984,away,65.0,21114.0
1,0,0,22864,0,48,2575984,away,78.0,134435.0
2,0,0,20448,0,0,2575984,away,85.0,239298.0
3,0,0,263432,0,22,2575984,away,,
4,0,0,20911,0,0,2575984,away,,
5,0,0,20723,0,0,2575984,away,,
6,0,0,21098,0,0,2575984,away,,
7,0,0,226200,0,0,2575984,away,,
8,0,0,134420,0,0,2575984,away,,
9,0,0,20476,0,0,2575984,away,,
10,0,0,170738,0,0,2575984,away,,
0,0,0,23149,0,0,2575976,home,63.0,20418.0
1,0,0,20438,0,0,2575976,home,83.0,350032.0
2,0,0,20879,0,0,2575976,home,,
3,0,0,114,0,0,2575976,home,,
4,0,0,3463,0,0,2575976,home,,
5,1,0,8327,0,0,2575976,home,,
6,0,0,20518,0,22,2575976,home,,
7,0,0,8306,0,0,2575976,home,,
8,0,0,3475,0,0,2575976,home,90.0,347026.0
9,0,0,92966,0,0,2575976,home,,
10,0,0,214220,0,0,2575976,home,,
0,0,0,241676,0,0,2575976,away,46.0,70965.0
1,0,0,20517,0,0,2575976,away,56.0,298212.0
2,0,0,20556,0,19,2575976,away,84.0,135903.0
3,0,0,3543,0,0,2575976,away,,
4,0,0,21094,0,0,2575976,away,,
5,0,0,20571,0,0,2575976,away,,
6,0,0,3431,0,0,2575976,away,,
7,0,0,138408,0,0,2575976,away,,
8,2,0,206314,0,0,2575976,away,,
9,0,0,14812,0,0,2575976,away,,
10,1,0,116349,0,0,2575976,away,,
0,null,0,3543,0,0,2575963,home,62.0,70965.0
1,null,0,69968,0,0,2575963,home,70.0,241676.0
2,2,0,206314,0,0,2575963,home,81.0,20626.0
3,null,0,21094,0,0,2575963,home,,
4,null,0,20571,0,0,2575963,home,,
5,null,0,20556,0,0,2575963,home,,
6,null,0,3431,0,0,2575963,home,,
7,null,0,138408,0,0,2575963,home,,
8,1,0,14812,0,0,2575963,home,,
9,null,0,116349,0,0,2575963,home,,
10,null,0,20517,0,0,2575963,home,,
0,0,2,22380,0,0,2575963,away,55.0,116170.0
1,null,0,269152,0,0,2575963,away,58.0,3710.0
2,null,0,25541,0,0,2575963,away,78.0,361214.0
3,null,0,23705,0,0,2575963,away,,
4,null,0,20748,0,0,2575963,away,,
5,0,2,338249,0,0,2575963,away,,
6,null,0,44510,0,0,2575963,away,,
7,null,0,26518,0,13,2575963,away,,
8,null,0,20866,0,0,2575963,away,,
9,null,0,116225,0,0,2575963,away,,
10,null,0,149076,0,0,2575963,away,,
